id_pessoa_TMDB,id_filme_TMDB,ator,diretor,roteirista
1337,12289,True,False,False
43661,12289,True,False,False
65277,12289,True,False,False
1622,12289,True,False,False
77304,12289,True,False,False
96862,12289,True,False,False
72202,12289,True,False,False
118724,12289,True,False,False
110507,12289,True,False,False
958556,12289,True,False,False
1031246,12289,True,False,False
96614,12289,True,False,False
1117866,12289,True,False,False
1117867,12289,True,False,False
1044559,12289,True,False,False
1297520,12289,True,False,False
1623402,12289,True,False,False
1614307,12289,True,False,False
1190213,12289,True,False,False
1623403,12289,True,False,False
1623404,12289,True,False,False
1299620,12289,True,False,False
1623405,12289,True,False,False
1623406,12289,True,False,False
1436148,12289,True,False,False
1623407,12289,True,False,False
1623408,12289,True,False,False
1623409,12289,True,False,False
11401,12289,False,True,False
78753,12289,False,False,True
64880,282631,True,False,False
227638,282631,True,False,False
138336,282631,True,False,False
1299287,282631,True,False,False
1244822,282631,True,False,False
181332,282631,True,False,False
1564168,282631,True,False,False
1251697,282631,True,False,False
552067,282631,True,False,False
1467287,282631,True,False,False
1674539,282631,True,False,False
587634,282631,True,False,False
223348,282631,True,False,False
1420832,282631,True,False,False
79579,282631,True,False,False
1278160,282631,True,False,False
141857,282631,True,False,False
2854670,282631,True,False,False
3166906,282631,True,False,False
1113060,282631,True,False,False
1442994,282631,False,False,True
3392,4105,True,False,False
1271,4105,True,False,False
73427,4105,True,False,False
34689,4105,True,False,False
689,4105,True,False,False
34690,4105,True,False,False
34691,4105,True,False,False
124221,4105,True,False,False
553969,4105,True,False,False
73428,4105,True,False,False
144419,4105,True,False,False
40481,4105,True,False,False
171747,4105,True,False,False
17401,4105,True,False,False
18262,4105,True,False,False
1454501,4105,True,False,False
72864,4105,True,False,False
1766584,4105,True,False,False
1805941,4105,True,False,False
17921,4105,True,False,False
169116,4105,True,False,False
6198,4105,True,False,False
171159,4105,True,False,False
1805952,4105,True,False,False
1454094,4105,True,False,False
1805957,4105,True,False,False
2541,4105,True,False,False
1805959,4105,True,False,False
1805961,4105,True,False,False
13006,4105,True,False,False
136879,4105,True,False,False
1805964,4105,True,False,False
1805965,4105,True,False,False
1584161,4105,True,False,False
1204851,4105,True,False,False
91387,4105,True,False,False
156196,4105,True,False,False
567246,4105,True,False,False
953728,4105,True,False,False
1805972,4105,True,False,False
198980,4105,True,False,False
1805989,4105,True,False,False
1805990,4105,True,False,False
1237536,4105,True,False,False
7080,4105,True,False,False
1805992,4105,True,False,False
178693,4105,True,False,False
1677323,4105,True,False,False
61704,4105,True,False,False
35244,4105,True,False,False
158453,4105,True,False,False
1805993,4105,True,False,False
1805994,4105,True,False,False
578,4105,False,True,False
2,11,True,False,False
3,11,True,False,False
4,11,True,False,False
5,11,True,False,False
12248,11,True,False,False
6,11,True,False,False
130,11,True,False,False
24343,11,True,False,False
24342,11,True,False,False
15152,11,True,False,False
33032,11,True,False,False
131625,11,True,False,False
132538,11,True,False,False
216087,11,True,False,False
69249,11,True,False,False
47401,11,True,False,False
47698,11,True,False,False
17356,11,True,False,False
162432,11,True,False,False
663,11,True,False,False
58475,11,True,False,False
151819,11,True,False,False
202276,11,True,False,False
42570,11,True,False,False
12829,11,True,False,False
79489,11,True,False,False
1729623,11,True,False,False
2724038,11,True,False,False
13,12,True,False,False
14,12,True,False,False
12,12,True,False,False
5293,12,True,False,False
18,12,True,False,False
19,12,True,False,False
6168,12,True,False,False
17401,12,True,False,False
14723,12,True,False,False
7911,12,True,False,False
118,12,True,False,False
20,12,True,False,False
981048,12,True,False,False
10,12,True,False,False
22,12,True,False,False
8783,12,True,False,False
27752,12,True,False,False
23,12,True,False,False
981049,12,True,False,False
1211731,12,True,False,False
1372790,12,True,False,False
17190,12,True,False,False
7907,12,True,False,False
31,13,True,False,False
32,13,True,False,False
33,13,True,False,False
34,13,True,False,False
35,13,True,False,False
37821,13,True,False,False
204997,13,True,False,False
9640,13,True,False,False
6751,13,True,False,False
37825,13,True,False,False
37822,13,True,False,False
37823,13,True,False,False
951881,13,True,False,False
36221,13,True,False,False
1215432,13,True,False,False
1019727,13,True,False,False
37832,13,True,False,False
29934,13,True,False,False
14526,13,True,False,False
6310,13,True,False,False
154697,13,True,False,False
37831,13,True,False,False
37830,13,True,False,False
975108,13,True,False,False
129725,13,True,False,False
1748207,13,True,False,False
37824,13,True,False,False
1346510,13,True,False,False
1088274,13,True,False,False
114326,13,True,False,False
170051,13,True,False,False
95140,13,True,False,False
1446990,13,True,False,False
1401994,13,True,False,False
1235787,13,True,False,False
163441,13,True,False,False
92658,13,True,False,False
1089167,13,True,False,False
2207913,13,True,False,False
81692,13,True,False,False
37827,13,True,False,False
1313819,13,True,False,False
1409948,13,True,False,False
1618488,13,True,False,False
46921,13,True,False,False
148122,13,True,False,False
406976,13,True,False,False
2207912,13,True,False,False
10565,13,True,False,False
1405338,13,True,False,False
21129,13,True,False,False
86434,13,True,False,False
1465241,13,True,False,False
92343,13,True,False,False
37828,13,True,False,False
1327149,13,True,False,False
37829,13,True,False,False
176329,13,True,False,False
169643,13,True,False,False
196855,13,True,False,False
2428975,13,True,False,False
1632630,13,True,False,False
2020776,13,True,False,False
24,13,False,True,False
26,13,False,False,True
1979,14,True,False,False
516,14,True,False,False
2155,14,True,False,False
8210,14,True,False,False
8211,14,True,False,False
2955,14,True,False,False
19,14,True,False,False
8212,14,True,False,False
2154,14,True,False,False
8213,14,True,False,False
8214,14,True,False,False
68842,14,True,False,False
1658382,14,True,False,False
9634,14,True,False,False
64189,14,True,False,False
166961,14,True,False,False
1397945,14,True,False,False
152796,14,True,False,False
42715,14,True,False,False
12223,14,True,False,False
76742,14,True,False,False
1441804,14,True,False,False
177623,14,True,False,False
1448568,14,True,False,False
101687,14,True,False,False
1503019,14,True,False,False
1503020,14,True,False,False
1503021,14,True,False,False
1503022,14,True,False,False
1503023,14,True,False,False
1503024,14,True,False,False
1503030,14,True,False,False
568656,14,True,False,False
1503025,14,True,False,False
1503026,14,True,False,False
1219143,14,True,False,False
39,14,False,True,False
1281,8204,True,False,False
18248,8204,True,False,False
1733,8204,True,False,False
33397,8204,True,False,False
37041,8204,True,False,False
23709,8204,True,False,False
11064,8204,True,False,False
19274,8204,True,False,False
519,8204,True,False,False
8712,8204,True,False,False
8321,8204,True,False,False
1122326,8204,True,False,False
2805288,8204,True,False,False
2167971,8204,True,False,False
62821,8204,True,False,False
72048,8204,True,False,False
54050,8204,False,True,False
54052,8204,False,False,True
8312,8204,False,False,True
62,18,True,False,False
63,18,True,False,False
64,18,True,False,False
65,18,True,False,False
66,18,True,False,False
8395,18,True,False,False
591,18,True,False,False
8396,18,True,False,False
7400,18,True,False,False
8397,18,True,False,False
183500,18,True,False,False
12642,18,True,False,False
8398,18,True,False,False
2406,18,True,False,False
8399,18,True,False,False
8400,18,True,False,False
16792,18,True,False,False
28897,18,True,False,False
10208,18,True,False,False
64210,18,True,False,False
47547,18,True,False,False
1776773,18,True,False,False
963257,18,True,False,False
15740,18,True,False,False
1202628,18,True,False,False
1857410,18,True,False,False
1384786,18,True,False,False
1857412,18,True,False,False
1857413,18,True,False,False
240745,18,True,False,False
1857414,18,True,False,False
179771,18,True,False,False
589398,18,True,False,False
1857416,18,True,False,False
1402694,18,True,False,False
1857418,18,True,False,False
1211876,18,True,False,False
17072,18,True,False,False
1395429,18,True,False,False
62498,18,True,False,False
45438,18,True,False,False
126316,18,True,False,False
33403,18,True,False,False
1857422,18,True,False,False
1338974,18,True,False,False
1162833,18,True,False,False
1857423,18,True,False,False
232174,18,True,False,False
2153520,18,True,False,False
2153521,18,True,False,False
1857424,18,True,False,False
1588721,18,True,False,False
2153522,18,True,False,False
1857425,18,True,False,False
1857427,18,True,False,False
36901,18,True,False,False
1768180,18,True,False,False
1857429,18,True,False,False
53246,18,True,False,False
1189042,18,True,False,False
1735717,18,True,False,False
1364322,18,True,False,False
1427818,18,True,False,False
1857430,18,True,False,False
1857431,18,True,False,False
33186,18,True,False,False
64102,18,True,False,False
937052,18,True,False,False
1857432,18,True,False,False
1857433,18,True,False,False
1435006,18,True,False,False
1818315,18,True,False,False
1857434,18,True,False,False
1230490,18,True,False,False
1563988,18,True,False,False
1857435,18,True,False,False
1857436,18,True,False,False
1857437,18,True,False,False
8445,18,True,False,False
987,18,True,False,False
